,Course_Code,Course_Name,R1_Points,R2_Points
0,AL801,Software Design for Virtual Reality and Gaming,,
1,AL802,Software Design in Artificial Intelligence for Clo,,
2,AL803,Software Design for Mobile Apps and Connected Devi,,
3,AL805,Computer Engineering for Network Infrastructure,,
4,AL810,Quantity Surveying,,
5,AL820,Mechanical and Polymer Engineering,,
6,AL830,General Nursing,,
7,AL832,Mental Health Nursing,,
8,AL835,Pharmacology,,
9,AL836,Nutrition and Health Science,,
10,AL837,Sports Science with Exercise Physiology,,
11,AL838,Biotechnology,,
12,AL839,Microbiology,,
13,AL840,Pharmaceutical Sciences,,
14,AL841,Athletic and Rehabilitation Therapy,,
15,AL842,Bioveterinary Science,,
16,AL843,Physical Activity and Health Science,,
17,AL849,Culinary Entrepreneurship,,
18,AL850,Business,,
19,AL851,Business and Law,,
20,AL852,Accounting,,
21,AL854,Sport Management (with international placement),,
22,AL855,Hospitality Management (with international placeme,,
23,AL857,Digital Marketing,,
24,AL859,International Business,,
25,AL860,Social Care Practice,,
26,AL861,Animation and Illustration (portfolio),,
27,AL863,Graphic and Digital Design (portfolio),,
28,AL864,Early Years Care and Education,,
29,AL870,Applied Psychology,,
30,CW018,Business (options),,
31,CW028,Early Childhood Education and Care,,
32,CW038,Art (portfolio),,
33,CW058,Tourism and Event Management,,
34,CW068,Applied Social Studies in Professional Social Care,,
35,CW078,Sustainable Farm Management and Agribusiness,,
36,CW088,Visual Communications and Design,,
37,CW108,Science (options),,
38,CW128,Brewing and Distilling,,
39,CW138,Sport and Exercise Science,,
40,CW148,Strength and Conditioning,,
41,CW188,Sport Rehabilitation and Athletic Therapy,,
42,CW208,Computer Games Development,,
43,CW238,Software Development,,
44,CW248,Information Technology Management,,
45,CW258,Cybercrime and IT Security,,
46,CW268,Computing in Interactive Digital Art and Design,,
47,CW438,Construction (options),,
48,CW468,Architectural Technology,,
49,CW478,Civil Engineering,,
50,CW548,Mechanical Engineering,,
51,CW558,Electronic Systems,,
52,CW568,Aerospace Engineering,,
53,CW578,TV and Media Production,,
54,CW708,Law - LLB,,
55,CW728,Product Design Innovation,,
56,CW748,Early Childhood Education and Care,,
57,CW758,Professional Social Care Practice,,
58,CW808,Media and Public Relations,,
59,CW848,Digital Marketing with Analytics,,
60,CW858,Sports Management and Coaching (options,,
61,CW908,Business (options),,
62,CW938,Business with Law,,
63,CW948,Accounting,,
64,PC405,Social,,
65,PC410,Arts and Humanities (fulfils Teaching Council requ,,
66,PC411,English and History (fulfils Teaching Council requ,,
67,CR105,Chemical and Biopharmaceutical Engineering,,
68,CR106,Software Development,,
69,CR108,Mechanical Engineering,,
70,CR109,Structural Engineering,,
71,CR110,Automotive Business Management and Technology,,
72,CR112,Creative Digital Media at CIT Crawford College of,,
73,CR116,Computer Systems,,
