Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,HEI,Course_Name,R1_Points21,R2_Points21
CR105,432.0,,443.0,,Engineering and engineering trades,Cork Institute of Technology,Chemical and Biopharmaceutical Engineering,443.0,
CR106,351.0,,411.0,,Information and Communication Technologies (ICTs),Cork Institute of Technology,Software Development,431.0,
CR108,425.0,,434.0,,Engineering and engineering trades,Cork Institute of Technology,Mechanical Engineering,434.0,
CR109,341.0,,394.0,,Architecture and construction,Cork Institute of Technology,Structural Engineering,396.0,
CR110,318.0,,311.0,,Transport services,Cork Institute of Technology,Automotive Business Management and Technology,336.0,
CR112,335.0,,361.0,,Arts,Cork Institute of Technology,Creative Digital Media at CIT Crawford College of,390.0,
CR116,318.0,,332.0,,Information and Communication Technologies (ICTs),Cork Institute of Technology,Computer Systems,365.0,
CR121,633.0,,868.0,,Arts,Cork Institute of Technology,Music at CIT Cork School of Music,904.0,904.0
CR125,972.0,,1088.0,,Arts,Cork Institute of Technology,Popular Music at CIT Cork School of Music,1028.0,
CR130,500.0,,548.0,518.0,Arts,Cork Institute of Technology,Musical Theatre at CIT Cork School of Music,525.0,
CR150,326.0,,335.0,,Business and administration,Cork Institute of Technology,Business Information Systems,350.0,
CR210,979.0,,,,Arts,Cork Institute of Technology,Contemporary Applied Art (Ceramics,,
CR220,620.0,,,,Arts,Cork Institute of Technology,Fine Art at CIT Crawford College of Art and Design,400.0,
CR225,920.0,,,,Arts,Cork Institute of Technology,Photography with New Media at CIT Crawford College,435.0,
CR305,279.0,,282.0,,Physical sciences,Cork Institute of Technology,Physical Sciences (Common Entry),260.0,
CR310,282.0,,297.0,,Information and Communication Technologies (ICTs),Cork Institute of Technology,IT Management,347.0,
CR320,546.0,,565.0,,Biological and related sciences,Cork Institute of Technology,Biomedical Science - Offered jointly by CIT and UC,590.0,
CR325,388.0,,398.0,,Biological and related sciences,Cork Institute of Technology,Pharmaceutical Biotechnology,466.0,
CR333,360.0,,402.0,,Health,Cork Institute of Technology,Nutrition and Health Science,425.0,
CR335,381.0,,420.0,,Biological and related sciences,Cork Institute of Technology,Biological Sciences (Common Entry),473.0,
CR340,288.0,,251.0,,Physical sciences,Cork Institute of Technology,Analytical Chemistry with Quality Assurance,327.0,
CR360,291.0,,261.0,,Physical sciences,Cork Institute of Technology,Instrument Engineering,301.0,
CR365,334.0,,253.0,,Environment,Cork Institute of Technology,Environmental Science and Sustainable Technology,262.0,
