Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,HEI,Course_Name,R1_Points21,R2_Points21
RC001,729.0,733.0,733.0,,Health,RCSI University of Medicine & Health Sciences,Medicine - Undergraduate Entry (HPAT required),741.0,740.0
RC004,532.0,542.0,566.0,,Health,RCSI University of Medicine & Health Sciences,Physiotherapy,589.0,589.0
RC005,555.0,566.0,579.0,,Health,RCSI University of Medicine & Health Sciences,Pharmacy,613.0,613.0
TR002,414.0,473.0,435.0,429.0,Arts,Trinity College Dublin,Music,508.0,477.0
TR003,486.0,518.0,497.0,493.0,Humanities (except languages),Trinity College Dublin,History,552.0,543.0
TR004,532.0,552.0,566.0,565.0,Law,Trinity College Dublin,Law,590.0,589.0
TR005,391.0,446.0,442.0,,Humanities (except languages),Trinity College Dublin,Philosophy,510.0,497.0
TR006,555.0,577.0,567.0,555.0,Social and behavioural sciences,Trinity College Dublin,Psychology,601.0,590.0
TR007,499.0,529.0,529.0,,Health,Trinity College Dublin,Clinical Speech and Language Studies,564.0,
TR009,430.0,465.0,420.0,,Education,Trinity College Dublin,Music Education,496.0,486.0
TR015,566.0,577.0,589.0,,Social and behavioural sciences,Trinity College Dublin,Philosophy,,
TR016,337.0,372.0,340.0,,Languages,Trinity College Dublin,Deaf Studies,389.0,
TR018,532.0,554.0,565.0,,Law,Trinity College Dublin,Law and French,602.0,602.0
TR019,523.0,555.0,543.0,542.0,Law,Trinity College Dublin,Law and German,577.0,567.0
TR021,377.0,495.0,370.0,,Humanities (except languages),Trinity College Dublin,Classics,,467.0
TR022,347.0,407.0,398.0,,Languages,Trinity College Dublin,Early and Modern Irish,377.0,
TR023,463.0,511.0,487.0,476.0,Languages,Trinity College Dublin,English Studies,546.0,541.0
TR024,520.0,544.0,544.0,542.0,Humanities (except languages),Trinity College Dublin,European Studies,566.0,
TR025,489.0,531.0,564.0,530.0,Arts,Trinity College Dublin,Drama and Theatre Studies,543.0,519.0
TR028,339.0,451.0,342.0,,Humanities (except languages),Trinity College Dublin,Ancient and Medieval History and Culture,498.0,463.0
TR031,566.0,589.0,531.0,,Mathematics and statistics,Trinity College Dublin,Mathematics,579.0,578.0
TR032,487.0,520.0,510.0,509.0,Engineering and engineering trades,Trinity College Dublin,Engineering,556.0,555.0
TR033,465.0,488.0,509.0,,Information and Communication Technologies (ICTs),Trinity College Dublin,Computer Science,566.0,549.0
TR034,589.0,602.0,613.0,,Business and administration,Trinity College Dublin,Management Science and Information Systems Studies,625.0,625.0
TR035,554.0,601.0,543.0,,Physical sciences,Trinity College Dublin,Theoretical Physics,590.0,589.0
TR038,499.0,543.0,532.0,,Engineering and engineering trades,Trinity College Dublin,Engineering with Management,589.0,589.0
TR040,485.0,,466.0,,Languages,Trinity College Dublin,Middle Eastern and European Languages and Cultures,520.0,499.0
TR041,347.0,,368.0,,Humanities (except languages),Trinity College Dublin,Religion,417.0,
TR051,730.0,,735.0,734.0,Health,Trinity College Dublin,Medicine (HPAT required),743.0,743.0
TR052,590.0,,613.0,613.0,Health,Trinity College Dublin,Dental Science,625.0,625.0
TR053,533.0,,566.0,566.0,Health,Trinity College Dublin,Physiotherapy,590.0,
TR054,500.0,,533.0,,Health,Trinity College Dublin,Occupational Therapy,578.0,577.0
TR055,510.0,,543.0,,Health,Trinity College Dublin,Radiation Therapy,577.0,566.0
TR056,543.0,,565.0,,Health,Trinity College Dublin,Human Health and Disease,601.0,
TR060,510.0,,543.0,543.0,Biological and related sciences,Trinity College Dublin,Biological and Biomedical Sciences,578.0,577.0
TR061,488.0,,517.0,510.0,Physical sciences,Trinity College Dublin,Chemical Sciences,558.0,554.0
TR062,435.0,,473.0,,Physical sciences,Trinity College Dublin,Geography and Geoscience,495.0,
TR063,498.0,,498.0,498.0,Physical sciences,Trinity College Dublin,Physical Sciences,554.0,543.0
TR072,555.0,,590.0,,Health,Trinity College Dublin,Pharmacy,613.0,613.0
TR080,565.0,,589.0,,Business and administration,Trinity College Dublin,Global Business,613.0,
TR081,518.0,,543.0,543.0,Social and behavioural sciences,Trinity College Dublin,Business,,577.0
TR084,420.0,,462.0,,Welfare,Trinity College Dublin,Social Studies (Social Work),497.0,487.0
TR085,509.0,,540.0,531.0,Business and administration,Trinity College Dublin,Business Studies and French,564.0,
TR086,474.0,,509.0,499.0,Business and administration,Trinity College Dublin,Business Studies and German,530.0,
TR087,467.0,,474.0,465.0,Business and administration,Trinity College Dublin,Business Studies and Russian,487.0,
TR089,393.0,,444.0,424.0,Business and administration,Trinity College Dublin,Business Studies and Polish,391.0,
TR090,510.0,,531.0,,Business and administration,Trinity College Dublin,Business Studies and Spanish,566.0,
TR091,393.0,,429.0,,Health,Trinity College Dublin,General Nursing (Meath and St James`s),462.0,456.0
TR093,378.0,,430.0,429.0,Health,Trinity College Dublin,General Nursing (Adelaide School of Nursing),473.0,
TR095,358.0,,408.0,,Health,Trinity College Dublin,Mental Health Nursing,442.0,
TR097,346.0,,396.0,,Health,Trinity College Dublin,Intellectual Disability Nursing,412.0,410.0
TR911,476.0,,511.0,510.0,Health,Trinity College Dublin,Children`s and General Nursing (Integrated),531.0,
TR913,423.0,,478.0,477.0,Health,Trinity College Dublin,Midwifery,521.0,
DN100,473.0,,510.0,,Architecture and construction,University College Dublin (NUI),Architecture,555.0,
DN120,353.0,,407.0,,Architecture and construction,University College Dublin (NUI),Landscape Architecture,463.0,435.0
DN130,367.0,,407.0,400.0,Architecture and construction,University College Dublin (NUI),City Planning and Environmental Policy,445.0,424.0
DN150,511.0,,531.0,521.0,Engineering and engineering trades,University College Dublin (NUI),Engineering (Common Entry),565.0,
DN200,521.0,,533.0,,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",University College Dublin (NUI),Science (options),577.0,567.0
DN201,488.0,,510.0,,Information and Communication Technologies (ICTs),University College Dublin (NUI),Computer Science (Common Entry),554.0,549.0
DN230,577.0,,601.0,,Mathematics and statistics,University College Dublin (NUI),Actuarial and Financial Studies,613.0,613.0
DN250,420.0,,456.0,455.0,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",University College Dublin (NUI),Agricultural Science (options),454.0,444.0
DN261,434.0,,477.0,,Agriculture,University College Dublin (NUI),Food Science,531.0,
DN262,493.0,,531.0,,Health,University College Dublin (NUI),Human Nutrition,566.0,
DN300,567.0,,589.0,,Veterinary,University College Dublin (NUI),Veterinary Medicine - Undergraduate Entry,601.0,
DN310,441.0,,478.0,477.0,Veterinary,University College Dublin (NUI),Veterinary Nursing,521.0,509.0
DN400,735.0,,737.0,736.0,Health,University College Dublin (NUI),Medicine - Undergraduate Entry (HPAT required),743.0,
DN410,507.0,,534.0,532.0,Health,University College Dublin (NUI),Radiography,566.0,566.0
DN420,542.0,,578.0,577.0,Health,University College Dublin (NUI),Physiotherapy,601.0,601.0
DN425,488.0,,510.0,509.0,Health,University College Dublin (NUI),Health and Performance Science,544.0,543.0
DN430,436.0,,455.0,445.0,Business and administration,University College Dublin (NUI),Sport and Exercise Management,484.0,476.0
DN450,398.0,,429.0,424.0,Health,University College Dublin (NUI),General Nursing,462.0,
DN451,462.0,,509.0,506.0,Health,University College Dublin (NUI),Children`s and General Nursing (Integrated),533.0,
DN452,409.0,,489.0,476.0,Health,University College Dublin (NUI),Midwifery,510.0,509.0
DN453,379.0,,397.0,393.0,Health,University College Dublin (NUI),Mental Health Nursing,442.0,
DN520,336.0,,310.0,,Arts,University College Dublin (NUI),Joint Honours (options),381.0,378.0
DN530,348.0,,340.0,336.0,Humanities (except languages),University College Dublin (NUI),Humanities (options),397.0,388.0
DN541,348.0,,303.0,,Languages,University College Dublin (NUI),Modern Languages (options),320.0,
DN600,520.0,,546.0,544.0,Law,University College Dublin (NUI),Law (options),576.0,567.0
DN610,521.0,,545.0,,Business and administration,University College Dublin (NUI),Business and Law,573.0,567.0
DN650,498.0,,521.0,521.0,Business and administration,University College Dublin (NUI),Commerce,555.0,
DN660,507.0,,517.0,511.0,Business and administration,University College Dublin (NUI),Commerce International (options),555.0,554.0
DN670,601.0,,613.0,,Business and administration,University College Dublin (NUI),Economics and Finance,625.0,625.0
DN700,388.0,,421.0,419.0,Social and behavioural sciences,University College Dublin (NUI),Social Sciences (options),475.0,474.0
DN710,476.0,,498.0,498.0,Social and behavioural sciences,University College Dublin (NUI),Economics,534.0,532.0
DN720,517.0,,530.0,522.0,Social and behavioural sciences,University College Dublin (NUI),Psychology,566.0,564.0
DN750,330.0,,378.0,,Social and behavioural sciences,University College Dublin (NUI),Social Policy and Sociology,421.0,
DK810,306.0,,305.0,305.0,Business and administration,Dundalk Institute of Technology,Accounting and Finance,307.0,307.0
DK816,300.0,,300.0,300.0,Business and administration,Dundalk Institute of Technology,Business Studies,301.0,301.0
DK820,307.0,,311.0,311.0,Information and Communication Technologies (ICTs),Dundalk Institute of Technology,Computing in Games Development,309.0,309.0
DK821,301.0,,302.0,302.0,Information and Communication Technologies (ICTs),Dundalk Institute of Technology,Computing in Software Development,320.0,316.0
DK830,302.0,,336.0,,Architecture and construction,Dundalk Institute of Technology,Building Surveying,305.0,
DK831,301.0,,389.0,,Architecture and construction,Dundalk Institute of Technology,Architectural Technology,368.0,314.0
DK832,300.0,,387.0,,Architecture and construction,Dundalk Institute of Technology,Construction Management,358.0,305.0
DK843,303.0,,340.0,340.0,Engineering and engineering trades,Dundalk Institute of Technology,Engineering (Common Entry),404.0,391.0
DK861,300.0,,302.0,302.0,Social and behavioural sciences,Dundalk Institute of Technology,Arts,302.0,302.0
DK862,300.0,,301.0,,Welfare,Dundalk Institute of Technology,Social Care,322.0,319.0
DK863,300.0,,308.0,308.0,Arts,Dundalk Institute of Technology,Creative Media,336.0,320.0
DK864,300.0,,300.0,300.0,Arts,Dundalk Institute of Technology,Film and Television Production,308.0,
DK865,301.0,,301.0,,Arts,Dundalk Institute of Technology,Audio and Music Production,352.0,
DK870,392.0,,403.0,401.0,Health,Dundalk Institute of Technology,General Nursing,440.0,440.0
DK872,300.0,,336.0,,Health,Dundalk Institute of Technology,Intellectual Disability Nursing,367.0,366.0
DK874,356.0,,356.0,,Health,Dundalk Institute of Technology,Mental Health Nursing,398.0,
DK876,305.0,,321.0,,Welfare,Dundalk Institute of Technology,Early Childhood Studies,300.0,
DK877,398.0,,440.0,,Health,Dundalk Institute of Technology,Midwifery,482.0,477.0
DK880,300.0,,328.0,,Health,Dundalk Institute of Technology,Health and Physical Activity,301.0,
DK882,303.0,,310.0,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Dundalk Institute of Technology,Agriculture (Award options),342.0,
DK883,300.0,,358.0,321.0,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Dundalk Institute of Technology,Science (Award options),373.0,368.0
GA181,303.0,,309.0,,Business and administration,Galway-Mayo Institute of Technology,Accounting,303.0,
GA182,290.0,,287.0,,Business and administration,Galway-Mayo Institute of Technology,Business,285.0,
GA183,309.0,,296.0,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology,Business Information Systems,298.0,
GA184,307.0,,307.0,,Business and administration,Galway-Mayo Institute of Technology,Marketing and Sales,300.0,
GA185,307.0,,293.0,,Business and administration,Galway-Mayo Institute of Technology,Finance and Economics,318.0,
GA186,297.0,,280.0,,Business and administration,Galway-Mayo Institute of Technology,Business with Entrepreneurship,287.0,
GA187,280.0,,281.0,,Agriculture,Galway-Mayo Institute of Technology,Rural Enterprise and Agri-Business,291.0,
GA281,287.0,,304.0,,Arts,Galway-Mayo Institute of Technology,Film and Documentary,310.0,301.0
GA282,238.0,,220.0,,Social and behavioural sciences,Galway-Mayo Institute of Technology,Heritage Studies,252.0,
GA283,260.0,,679.0,,Arts,Galway-Mayo Institute of Technology,Contemporary Art (portfolio),790.0,
GA284,309.0,,303.0,,Arts,Galway-Mayo Institute of Technology,Design,331.0,
GA380,225.0,,242.0,,Personal services,Galway-Mayo Institute of Technology,International Hotel Management,218.0,
GA381,261.0,,278.0,,Personal services,Galway-Mayo Institute of Technology,International Tourism Management,252.0,
GA382,225.0,,206.0,,Manufacturing and processing,Galway-Mayo Institute of Technology,Culinary and Gastronomic Science,235.0,
GA480,260.0,,260.0,,Architecture and construction,Galway-Mayo Institute of Technology,Construction Management,302.0,
GA482,280.0,,288.0,,Architecture and construction,Galway-Mayo Institute of Technology,Quantity Surveying and Construction Economics,304.0,
GA483,251.0,,265.0,,Architecture and construction,Galway-Mayo Institute of Technology,Architectural Technology,281.0,273.0
GA484,270.0,,290.0,,Architecture and construction,Galway-Mayo Institute of Technology,Civil Engineering,377.0,
GA580,301.0,,300.0,,Engineering and engineering trades,Galway-Mayo Institute of Technology,Software and Electronic Engineering,300.0,
GA680,336.0,,330.0,,Engineering and engineering trades,Galway-Mayo Institute of Technology,Mechanical Engineering,400.0,
GA681,281.0,,293.0,,Engineering and engineering trades,Galway-Mayo Institute of Technology,Energy Engineering,312.0,
GA682,331.0,,313.0,,Engineering and engineering trades,Galway-Mayo Institute of Technology,Biomedical Engineering,331.0,
GA683,301.0,,309.0,,Engineering and engineering trades,Galway-Mayo Institute of Technology,Agricultural Engineering,304.0,
GA684,346.0,,340.0,,Engineering and engineering trades,Galway-Mayo Institute of Technology,Engineering Common Entry to Manu/Agri/Biomed/Energ,413.0,
GA780,300.0,,327.0,,Biological and related sciences,Galway-Mayo Institute of Technology,Applied Freshwater and Marine Biology,366.0,
GA781,317.0,,337.0,,Biological and related sciences,Galway-Mayo Institute of Technology,Applied Biology and Biopharmaceutical Science,381.0,
GA782,307.0,,336.0,,Environment,Galway-Mayo Institute of Technology,Chemical and Pharmaceutical Science,356.0,
GA783,373.0,,363.0,,Physical sciences,Galway-Mayo Institute of Technology,Physics and Instrumentation,301.0,
GA784,327.0,,372.0,,Biological and related sciences,Galway-Mayo Institute of Technology,Science (Undenominated),445.0,
GA785,451.0,,473.0,,Health,Galway-Mayo Institute of Technology,Medical Science,517.0,510.0
GA786,300.0,,317.0,,Physical sciences,Galway-Mayo Institute of Technology,Forensic Science and Analysis,408.0,
GA787,275.0,,270.0,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology,Computing in Software Development,310.0,
GA788,270.0,,274.0,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology,Computing and Digital Media,270.0,
GA789,297.0,,287.0,,Agriculture,Galway-Mayo Institute of Technology,Agriculture and Environmental Management,340.0,
GA790,350.0,,356.0,,Personal services,Galway-Mayo Institute of Technology,Sport and Exercise Science,376.0,366.0
GA791,364.0,,368.0,,Biological and related sciences,Galway-Mayo Institute of Technology,Public Health Nutrition,368.0,
GA880,389.0,,429.0,422.0,Health,Galway-Mayo Institute of Technology,General Nursing,440.0,
GA882,346.0,,367.0,,Health,Galway-Mayo Institute of Technology,Psychiatric Nursing,369.0,
GA885,210.0,,252.0,,Personal services,Galway-Mayo Institute of Technology,Outdoor Education,269.0,
GA887,228.0,,244.0,,Humanities (except languages),Galway-Mayo Institute of Technology,History and Geography,201.0,
GA889,260.0,,266.0,,Welfare,Galway-Mayo Institute of Technology,Applied Social Care,265.0,
GA890,278.0,,270.0,,Education,Galway-Mayo Institute of Technology,Early Childhood Education and Care,281.0,227.0
GA980,376.0,,377.0,,Education,Galway-Mayo Institute of Technology,Education (Design Graphics and Construction),410.0,
GY101,300.0,,300.0,,Arts,"National University of Ireland, Galway",Arts (Joint-Honours),327.0,326.0
GY104,507.0,,523.0,520.0,Social and behavioural sciences,"National University of Ireland, Galway",BSc (Psychology),564.0,555.0
GY105,318.0,,301.0,,Humanities (except languages),"National University of Ireland, Galway",Arts (History),357.0,
GY109,411.0,,403.0,,Education,"National University of Ireland, Galway",Arts (Mathematics and Education),413.0,
GY110,382.0,,357.0,,Social and behavioural sciences,"National University of Ireland, Galway",Arts (Children and Youth Studies - options),387.0,
GY111,402.0,,330.0,,Arts,"National University of Ireland, Galway",Arts (English and Creative Writing),421.0,420.0
GY113,338.0,,368.0,,Social and behavioural sciences,"National University of Ireland, Galway",Arts with Human Rights,413.0,
GY115,328.0,,387.0,,Arts,"National University of Ireland, Galway",Arts with Performing Arts Studies,300.0,
GY118,410.0,,451.0,,Arts,"National University of Ireland, Galway",Arts (Drama,,453.0
GY119,410.0,,400.0,,Journalism and information,"National University of Ireland, Galway",Arts (Journalism),484.0,473.0
GY122,308.0,,361.0,,Arts,"National University of Ireland, Galway",Na Dána (Cumarsáid agus Gaeilge),410.0,
GY123,357.0,,358.0,,Social and behavioural sciences,"National University of Ireland, Galway",Applied Social Sciences,419.0,
GY125,324.0,,328.0,,Arts,"National University of Ireland, Galway",Arts (Digital Arts and Technology),403.0,
GY127,387.0,,401.0,,Arts,"National University of Ireland, Galway",Arts (Film and Digital Media),430.0,421.0
GY128,370.0,,352.0,,Languages,"National University of Ireland, Galway",Arts (Global Languages),346.0,
GY130,400.0,,408.0,,Arts,"National University of Ireland, Galway",Arts (Music),462.0,
GY132,402.0,,407.0,,Social and behavioural sciences,"National University of Ireland, Galway",Government (Politics,,465.0
GY133,401.0,,422.0,,Education,"National University of Ireland, Galway",Education (Computer Science and Mathematical Studi,454.0,
GY201,420.0,,433.0,,Business and administration,"National University of Ireland, Galway",Commerce,476.0,
GY202,484.0,,484.0,,Business and administration,"National University of Ireland, Galway",Commerce (International) with French,520.0,
GY203,489.0,,489.0,,Business and administration,"National University of Ireland, Galway",Commerce (International) with German,518.0,
GY204,484.0,,495.0,,Business and administration,"National University of Ireland, Galway",Commerce (International) with Spanish,506.0,
GY206,431.0,,465.0,,Business and administration,"National University of Ireland, Galway",Business Information Systems (Work Placement and O,509.0,
GY207,486.0,,509.0,,Business and administration,"National University of Ireland, Galway",Commerce (Accounting) including optional Global Ex,543.0,
GY208,473.0,,473.0,,Business and administration,"National University of Ireland, Galway",Commerce (Gaeilge),508.0,
GY209,509.0,,530.0,,Business and administration,"National University of Ireland, Galway",Commerce (Global Experience),551.0,
GY250,436.0,,487.0,,Law,"National University of Ireland, Galway",Law and Business,510.0,
GY251,473.0,,499.0,,Law,"National University of Ireland, Galway",Law (BCL),542.0,
GY252,510.0,,520.0,,Law,"National University of Ireland, Galway",Law (BCL) and Human Rights,565.0,
GY261,486.0,,497.0,,Business and administration,"National University of Ireland, Galway",Business Studies in International Hotel Management,503.0,
GY262,671.0,,681.0,,Business and administration,"National University of Ireland, Galway",Commerce in International Hotel Management (interv,709.0,
GY301,400.0,,433.0,432.0,Biological and related sciences,"National University of Ireland, Galway",Science,489.0,488.0
GY303,533.0,,556.0,,Biological and related sciences,"National University of Ireland, Galway",Biomedical Science,613.0,
GY304,473.0,,465.0,,Engineering and engineering trades,"National University of Ireland, Galway",Biotechnology,498.0,495.0
GY308,413.0,,408.0,,Environment,"National University of Ireland, Galway",Environmental Science,431.0,430.0
GY309,454.0,,487.0,,Mathematics and statistics,"National University of Ireland, Galway",Financial Mathematics and Economics,509.0,
GY310,409.0,,419.0,,Physical sciences,"National University of Ireland, Galway",Marine Science,467.0,
GY313,402.0,,412.0,,Hygiene and occupational health services,"National University of Ireland, Galway",Environmental Health and Safety,412.0,
GY314,402.0,,403.0,,Physical sciences,"National University of Ireland, Galway",Earth and Ocean Sciences,422.0,
GY318,510.0,,509.0,,Biological and related sciences,"National University of Ireland, Galway",Biopharmaceutical Chemistry,555.0,
GY319,456.0,,476.0,,Mathematics and statistics,"National University of Ireland, Galway",Mathematical Science,543.0,
GY320,401.0,,402.0,,Physical sciences,"National University of Ireland, Galway",Physics (Degree options: Applied Astrophysics Biom,465.0,
GY350,425.0,,403.0,,Information and Communication Technologies (ICTs),"National University of Ireland, Galway",Computer Science and Information Technology,495.0,
GY401,444.0,,465.0,,Engineering and engineering trades,"National University of Ireland, Galway",Engineering (Undenominated),522.0,520.0
GY402,509.0,,455.0,,Architecture and construction,"National University of Ireland, Galway",Civil Engineering,533.0,521.0
GY405,443.0,,454.0,,Engineering and engineering trades,"National University of Ireland, Galway",Mechanical Engineering,541.0,
GY406,509.0,,510.0,,Engineering and engineering trades,"National University of Ireland, Galway",Electronic and Computer Engineering,555.0,
GY408,519.0,,509.0,,Engineering and engineering trades,"National University of Ireland, Galway",Biomedical Engineering,554.0,
GY410,434.0,,403.0,,Architecture and construction,"National University of Ireland, Galway",Project and Construction Management,431.0,
GY413,532.0,,502.0,,Engineering and engineering trades,"National University of Ireland, Galway",Energy Systems Engineering,509.0,
GY414,454.0,,405.0,,Engineering and engineering trades,"National University of Ireland, Galway",Electrical and Electronic Engineering,433.0,
GY501,726.0,,728.0,,Health,"National University of Ireland, Galway",Medicine (five year/six year course,,737.0
GY502,532.0,,555.0,,Health,"National University of Ireland, Galway",Occupational Therapy,601.0,
GY503,529.0,,543.0,,Health,"National University of Ireland, Galway",Speech and Language Therapy,578.0,
GY504,434.0,,443.0,,Health,"National University of Ireland, Galway",Podiatric Medicine,531.0,526.0
GY515,442.0,,476.0,473.0,Health,"National University of Ireland, Galway",General Nursing (Galway and Portiuncula),502.0,496.0
GY516,388.0,,440.0,,Health,"National University of Ireland, Galway",Mental Health Nursing,475.0,441.0
GY517,429.0,,495.0,,Health,"National University of Ireland, Galway",Midwifery,520.0,509.0
LY108,318.0,,309.0,,Business and administration,Letterkenny Institute of Technology,Business - Accounting,312.0,
LY118,287.0,,290.0,,Business and administration,Letterkenny Institute of Technology,Business,288.0,
LY208,300.0,,300.0,,Law,Letterkenny Institute of Technology,Law,300.0,290.0
LY228,278.0,,300.0,,Personal services,Letterkenny Institute of Technology,Sports and Exercise - Common Entry,290.0,
LY408,307.0,,320.0,,Arts,Letterkenny Institute of Technology,Design - Common Entry,301.0,
LY508,270.0,,276.0,,Architecture and construction,Letterkenny Institute of Technology,Fire Safety Engineering,283.0,
LY518,307.0,,301.0,,Architecture and construction,Letterkenny Institute of Technology,Quantity Surveying,304.0,
LY528,267.0,,271.0,,Architecture and construction,Letterkenny Institute of Technology,Construction Management,262.0,
LY618,307.0,,312.0,,Engineering and engineering trades,Letterkenny Institute of Technology,Electronic Engineering,321.0,
LY708,300.0,,306.0,,Information and Communication Technologies (ICTs),Letterkenny Institute of Technology,Applied Computing,320.0,
LY818,302.0,,303.0,,Biological and related sciences,Letterkenny Institute of Technology,Science - Common Entry,302.0,
LY828,300.0,,307.0,,Agriculture,Letterkenny Institute of Technology,Agriculture - Common Entry,308.0,300.0
LY908,383.0,,400.0,,Health,Letterkenny Institute of Technology,General Nursing,429.0,
LY918,291.0,,357.0,,Health,Letterkenny Institute of Technology,Psychiatric Nursing,367.0,
LY928,288.0,,326.0,,Health,Letterkenny Institute of Technology,Intellectual Disability Nursing,357.0,
LY968,300.0,,303.0,,Welfare,Letterkenny Institute of Technology,Early Childhood Care,,288.0
LY978,260.0,,280.0,,Health,Letterkenny Institute of Technology,Health and Social Care - Common Entry,279.0,
MI001,345.0,,375.0,,Arts,Mary Immaculate College,Contemporary and Applied Theatre Studies,209.0,
MI002,300.0,,300.0,281.0,Arts,Mary Immaculate College,Arts,280.0,
MI005,473.0,,495.0,,Education,Mary Immaculate College,Education - Primary Teaching,522.0,
MI006,442.0,,456.0,,Education,Mary Immaculate College,Education - Primary Teaching - Gaeltacht Applicant,485.0,
MI007,366.0,,357.0,,Education,Mary Immaculate College,Early Childhood Care and Education,409.0,
MI008,543.0,,588.0,,Education,Mary Immaculate College,Education and Psychology - Primary Teaching,590.0,
MI009,392.0,,402.0,,Education,Mary Immaculate College,Education,,434.0
MI010,326.0,,368.0,,Education,Mary Immaculate College,Education,,370.0
MI011,377.0,,409.0,,Education,Mary Immaculate College,Education,,407.0
MI012,398.0,,401.0,,Education,Mary Immaculate College,Education,,387.0
MI013,433.0,,444.0,,Education,Mary Immaculate College,Education,,509.0
LC110,734.0,,740.0,,Arts,Limerick Institute of Technology,Art and Design (Common Entry,,794.0
LC114,900.0,,880.0,,Arts,Limerick Institute of Technology,Fashion and Textiles for Product and Costume (port,914.0,
LC220,254.0,,262.0,,Business and administration,Limerick Institute of Technology,Digital Marketing,263.0,
LC223,308.0,,307.0,,Law,Limerick Institute of Technology,Law and Taxation,331.0,
LC224,299.0,,300.0,,Business and administration,Limerick Institute of Technology,Accounting and Finance,300.0,
LC225,298.0,,298.0,,Business and administration,Limerick Institute of Technology,Marketing and Management,298.0,
LC226,216.0,,234.0,234.0,Business and administration,Limerick Institute of Technology,Enterprise and Innovation,255.0,
LC233,300.0,,272.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Software Development,280.0,
LC234,219.0,,225.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Immersive Digital Media and Spatial Computing,226.0,
LC236,298.0,,262.0,260.0,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Internet Systems Development,260.0,
LC239,335.0,,307.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Computer Networks and Systems Management,317.0,
LC241,276.0,,255.0,,Architecture and construction,Limerick Institute of Technology,Construction Management,326.0,
LC242,292.0,,282.0,,Architecture and construction,Limerick Institute of Technology,Property Valuation and Management,308.0,
LC243,281.0,,294.0,,Architecture and construction,Limerick Institute of Technology,Quantity Surveying,278.0,
LC248,307.0,,288.0,,Architecture and construction,Limerick Institute of Technology,Built Environment (Common Entry),300.0,
LC252,281.0,,270.0,,Architecture and construction,Limerick Institute of Technology,Civil Engineering Management,264.0,
LC263,282.0,,294.0,,Health,Limerick Institute of Technology,Medical Technology,391.0,
LC265,335.0,,413.0,,Physical sciences,Limerick Institute of Technology,Forensic and Pharmaceutical Sciences,498.0,
LC266,236.0,,262.0,,Environment,Limerick Institute of Technology,Drug and Medicinal Product Analysis,252.0,
LC275,288.0,,298.0,,Engineering and engineering trades,Limerick Institute of Technology,Electrical Engineering,361.0,347.0
LC288,307.0,,347.0,346.0,Engineering and engineering trades,Limerick Institute of Technology,Mechanical Engineering,378.0,369.0
LC289,280.0,,291.0,,Engineering and engineering trades,Limerick Institute of Technology,Precision Engineering,261.0,
LC292,360.0,,367.0,,Welfare,Limerick Institute of Technology,Social Care Work,374.0,
LC293,299.0,,307.0,,Personal services,Limerick Institute of Technology,Business Studies with Travel and Tourism Managemen,271.0,264.0
LC294,271.0,,279.0,,Personal services,Limerick Institute of Technology,Business Studies with Event Management,279.0,
LC295,263.0,,252.0,,Business and administration,Limerick Institute of Technology,Business Studies with Sports Management,262.0,
LC297,217.0,,235.0,,Social and behavioural sciences,Limerick Institute of Technology,Community and Addiction Studies,272.0,262.0
LC320,337.0,,346.0,,Business and administration,Limerick Institute of Technology,Business,381.0,
LC330,298.0,,297.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Business with Computing,328.0,308.0
LC340,298.0,,350.0,,Arts,Limerick Institute of Technology,Interior Design,391.0,368.0
LC371,298.0,,309.0,,Arts,Limerick Institute of Technology,Creative Broadcast and Film Production,325.0,310.0
LC372,321.0,,325.0,,Arts,Limerick Institute of Technology,Music Technology and Production,377.0,
LC374,317.0,,318.0,,Engineering and engineering trades,Limerick Institute of Technology,Renewable and Electrical Energy Engineering,337.0,319.0
LC375,321.0,,317.0,,Engineering and engineering trades,Limerick Institute of Technology,Industrial Automation and Robotic Systems,309.0,
LC376,308.0,,318.0,,Engineering and engineering trades,Limerick Institute of Technology,Electronic Engineering with Computer Systems,357.0,
LC380,282.0,,303.0,298.0,Transport services,Limerick Institute of Technology,Automotive Engineering and Transport Management,298.0,
LC392,217.0,,236.0,,Personal services,Limerick Institute of Technology,Business Studies in Beauty and Spa Management,328.0,317.0
LC393,260.0,,236.0,,Welfare,Limerick Institute of Technology,Early Childhood Education and Care,309.0,276.0
LC402,209.0,,225.0,,Welfare,Limerick Institute of Technology,Social Care Work,228.0,
LC408,262.0,,279.0,,Environment,Limerick Institute of Technology,Environmental Science and Climate,279.0,
