Course_Code,Course Name_x,R1_Points19,R2_Points19,Course Name_y,R1_Points20,R2_Points20,Course Category,Course_Name,R1_Points21,R2_Points21
CW808,Media and Public Relations,248.0,,Media and Public Relations,251.0,,Business and administration,Media and Public Relations,247.0,
CW848,Digital Marketing with Analytics,279.0,,Digital Marketing with Analytics,254.0,,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,269.0,
CW858,"Sports Management and Coaching (options, portfolio)",700.0,,"Sports Management and Coaching (options, portfolio)",700.0,,Personal services,Sports Management and Coaching (options,,700.0
CW908,Business (options),260.0,,Business (options),280.0,,Business and administration,Business (options),272.0,
CW938,Business with Law,270.0,,Business with Law,283.0,,Business and administration,Business with Law,270.0,
CW948,Accounting,301.0,,Accounting,300.0,,Business and administration,Accounting,319.0,
PC405,"Social, Political and Community Studies",251.0,,"Social, Political and Community Studies",253.0,216.0,Social and behavioural sciences,Social,,263.0
PC410,Arts and Humanities (fulfils Teaching Council requirements),203.0,,Arts and Humanities (fulfils Teaching Council requirements),252.0,209.0,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requ,262.0,230.0
PC411,English and History (fulfils Teaching Council requirements),168.0,,English and History (fulfils Teaching Council requirements),255.0,209.0,Humanities (except languages),English and History (fulfils Teaching Council requ,243.0,224.0
CR105,Chemical and Biopharmaceutical Engineering,432.0,,Chemical and Biopharmaceutical Engineering,443.0,,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,443.0,
CR106,Software Development,351.0,,Software Development,411.0,,Information and Communication Technologies (ICTs),Software Development,431.0,
CR108,Mechanical Engineering,425.0,,Mechanical Engineering,434.0,,Engineering and engineering trades,Mechanical Engineering,434.0,
CR109,Structural Engineering,341.0,,Structural Engineering,394.0,,Architecture and construction,Structural Engineering,396.0,
CR110,Automotive Business Management and Technology,318.0,,Automotive Business Management and Technology,311.0,,Transport services,Automotive Business Management and Technology,336.0,
CR112,Creative Digital Media,335.0,,Creative Digital Media,361.0,,Arts,Creative Digital Media at CIT Crawford College of,390.0,
CR116,Computer Systems,318.0,,Computer Systems,332.0,,Information and Communication Technologies (ICTs),Computer Systems,365.0,
CR121,Music at CIT Cork School of Music,633.0,,Music at CIT Cork School of Music,868.0,,Arts,Music at CIT Cork School of Music,904.0,904.0
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972.0,,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088.0,,Arts,Popular Music at CIT Cork School of Music,1028.0,
CR130,Musical Theatre,500.0,,Musical Theatre at CIT Cork School of Music,548.0,518.0,Arts,Musical Theatre at CIT Cork School of Music,525.0,
CR150,Business Information Systems,326.0,,Business Information Systems,335.0,,Business and administration,Business Information Systems,350.0,
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979.0,,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",,,Arts,Contemporary Applied Art (Ceramics,,
CR220,Fine Art at CIT Crawford College of Art and Design,620.0,,Fine Art at CIT Crawford College of Art and Design,,,Arts,Fine Art at CIT Crawford College of Art and Design,400.0,
CR225,Photography with New Media,920.0,,Photography with New Media,,,Arts,Photography with New Media at CIT Crawford College,435.0,
CR305,Physical Sciences (Common Entry),279.0,,Physical Sciences (Common Entry),282.0,,Physical sciences,Physical Sciences (Common Entry),260.0,
CR310,IT Management,282.0,,IT Management,297.0,,Information and Communication Technologies (ICTs),IT Management,347.0,
CR320,Biomedical Science (Offered jointly by CIT and UCC),546.0,,Biomedical Science - Offered jointly by CIT and UCC,565.0,,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UC,590.0,
CR325,Pharmaceutical Biotechnology,388.0,,Pharmaceutical Biotechnology,398.0,,Biological and related sciences,Pharmaceutical Biotechnology,466.0,
CR333,Nutrition and Health Science,360.0,,Nutrition and Health Science,402.0,,Health,Nutrition and Health Science,425.0,
CR335,Biological Sciences (Common Entry),381.0,,Biological Sciences (Common Entry),420.0,,Biological and related sciences,Biological Sciences (Common Entry),473.0,
CR340,Analytical Chemistry with Quality Assurance,288.0,,Analytical Chemistry with Quality Assurance,251.0,,Physical sciences,Analytical Chemistry with Quality Assurance,327.0,
CR360,Instrument Engineering,291.0,,Instrument Engineering,261.0,,Physical sciences,Instrument Engineering,301.0,
CR365,Environmental Science and Sustainable Technology,334.0,,Environmental Science and Sustainable Technology,253.0,,Environment,Environmental Science and Sustainable Technology,262.0,
CR370,Agri-Biosciences,408.0,,Agri-Biosciences,397.0,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,368.0,
CR400,Accounting,316.0,,Accounting,316.0,,Business and administration,Accounting,315.0,
CR420,Marketing,288.0,,Marketing,285.0,,Business and administration,Marketing,290.0,
CR425,International Business with Language,300.0,,International Business with Language,298.0,,Business and administration,International Business with Language,279.0,
CR510,Sustainable Energy Engineering,319.0,,Sustainable Energy Engineering,320.0,,Environment,Sustainable Energy Engineering,320.0,
CR520,Biomedical Engineering,434.0,,Biomedical Engineering,444.0,,Health,Biomedical Engineering,444.0,
CR560,Architectural Technology,288.0,,Architectural Technology,308.0,,Architecture and construction,Architectural Technology,375.0,
CR565,Interior Architecture,336.0,,Interior Architecture,359.0,,Architecture and construction,Interior Architecture,431.0,
CR570,Quantity Surveying,279.0,,Quantity Surveying,336.0,,Architecture and construction,Quantity Surveying,375.0,
CR572,Construction Management,253.0,,Construction Management,269.0,,Architecture and construction,Construction Management,300.0,
CR580,Electrical Engineering,344.0,,Electrical Engineering,318.0,,Engineering and engineering trades,Electrical Engineering,342.0,
CR590,Electronic Engineering,342.0,,Electronic Engineering,303.0,,Engineering and engineering trades,Electronic Engineering,329.0,
CR600,Visual Communications,587.0,,Visual Communications,,,Arts,Visual Communications at CIT Crawford College of A,280.0,
CR660,Tourism Management,249.0,,Tourism Management,252.0,,Personal services,Tourism Management,246.0,
CR700,Theatre and Drama Studies at CIT Cork School of Music,768.0,,Theatre and Drama Studies at CIT Cork School of Music,740.0,645.0,Arts,Theatre and Drama Studies at CIT Cork School of Mu,609.0,609.0
CK101,Arts - 3 years,300.0,,Arts - 3 years,300.0,,Arts,Arts - 3 years,300.0,
CK102,Social Science,391.0,,Social Science,412.0,,Social and behavioural sciences,Social Science,434.0,431.0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340.0,,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302.0,,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397.0,,Film and Screen Media - 3 years or 4 years (International Pathway),368.0,337.0,Arts,Film and Screen Media - 3 years or 4 years (Intern,421.0,420.0
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326.0,,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328.0,,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4,312.0,
CK108,Arts International - 4 years,429.0,,Arts International - 4 years,401.0,,Languages,Arts International - 4 years,440.0,440.0
CK109,English - 3 years or 4 years (International Pathway),347.0,,English - 3 years or 4 years (International Pathway),318.0,,Languages,English - 3 years or 4 years (International Pathwa,367.0,357.0
CK110,World Languages,456.0,,World Languages,452.0,433.0,Languages,World Languages,488.0,
CK111,Early Years and Childhood Studies,398.0,,Early Years and Childhood Studies,419.0,,Welfare,Early Years and Childhood Studies,409.0,403.0
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324.0,,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330.0,,Arts,Theatre and Performative Practices - 3 or 4 years,371.0,
