Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,Course_Name,R1_Points21,R2_Points21
CR340,288.0,,251.0,,Physical sciences,Analytical Chemistry with Quality Assurance,327.0,
CR360,291.0,,261.0,,Physical sciences,Instrument Engineering,301.0,
CR365,334.0,,253.0,,Environment,Environmental Science and Sustainable Technology,262.0,
CR370,408.0,,397.0,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,368.0,
CR400,316.0,,316.0,,Business and administration,Accounting,315.0,
CR420,288.0,,285.0,,Business and administration,Marketing,290.0,
CR425,300.0,,298.0,,Business and administration,International Business with Language,279.0,
CR510,319.0,,320.0,,Environment,Sustainable Energy Engineering,320.0,
CR520,434.0,,444.0,,Health,Biomedical Engineering,444.0,
CR560,288.0,,308.0,,Architecture and construction,Architectural Technology,375.0,
CR565,336.0,,359.0,,Architecture and construction,Interior Architecture,431.0,
CR570,279.0,,336.0,,Architecture and construction,Quantity Surveying,375.0,
CR572,253.0,,269.0,,Architecture and construction,Construction Management,300.0,
CR580,344.0,,318.0,,Engineering and engineering trades,Electrical Engineering,342.0,
CR590,342.0,,303.0,,Engineering and engineering trades,Electronic Engineering,329.0,
CR600,587.0,,,,Arts,Visual Communications at CIT Crawford College of A,280.0,
CR660,249.0,,252.0,,Personal services,Tourism Management,246.0,
CR700,768.0,,740.0,645.0,Arts,Theatre and Drama Studies at CIT Cork School of Mu,609.0,609.0
CK101,300.0,,300.0,,Arts,Arts - 3 years,300.0,
CK102,391.0,,412.0,,Social and behavioural sciences,Social Science,434.0,431.0
CK104,340.0,,302.0,,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,
CK105,397.0,,368.0,337.0,Arts,Film and Screen Media - 3 years or 4 years (Intern,421.0,420.0
CK107,326.0,,328.0,,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4,312.0,
CK108,429.0,,401.0,,Languages,Arts International - 4 years,440.0,440.0
CK109,347.0,,318.0,,Languages,English - 3 years or 4 years (International Pathwa,367.0,357.0
CK110,456.0,,452.0,433.0,Languages,World Languages,488.0,
CK111,398.0,,419.0,,Welfare,Early Years and Childhood Studies,409.0,403.0
CK112,324.0,,330.0,,Arts,Theatre and Performative Practices - 3 or 4 years,371.0,
CK113,408.0,,423.0,,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pa,464.0,463.0
CK118,307.0,,336.0,,Arts,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,339.0
CK120,506.0,,533.0,532.0,Social and behavioural sciences,Applied Psychology,544.0,543.0
CK121,393.0,,466.0,,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Expe,499.0,488.0
CK122,355.0,,337.0,328.0,Social and behavioural sciences,Government and Political Science,399.0,
CK201,465.0,,477.0,,Business and administration,Commerce,500.0,499.0
CK202,467.0,,509.0,,Business and administration,Accounting,553.0,543.0
CK203,409.0,,430.0,,Information and Communication Technologies (ICTs),Business Information Systems,455.0,452.0
CK204,531.0,,556.0,,Business and administration,Finance,566.0,566.0
CK205,409.0,,445.0,,Business and administration,Commerce (International) with French,465.0,
CK206,408.0,,420.0,418.0,Business and administration,Commerce (International) with German,466.0,455.0
CK207,408.0,,388.0,,Business and administration,Commerce (International) with Italian,423.0,418.0
CK208,431.0,,402.0,,Business and administration,Commerce (International) with Hispanic Studies,488.0,486.0
CK209,509.0,,484.0,,Business and administration,Commerce (International) with Irish,507.0,
CK211,398.0,,397.0,,Business and administration,Commerce (International) with Chinese Studies,385.0,
CK212,400.0,,444.0,,Social and behavioural sciences,Economics (through Transformational Learning) 3 or,445.0,444.0
CK301,476.0,,507.0,499.0,Law,Law (Pathways) -,34.0,533.0
CK302,453.0,,542.0,,Law,Law and French,545.0,
CK304,462.0,,540.0,,Law,Law and Irish,588.0,
CK307,522.0,,556.0,,Law,Law and Business,589.0,589.0
CK401,402.0,,468.0,,Information and Communication Technologies (ICTs),Computer Science,503.0,495.0
CK402,498.0,,510.0,509.0,Biological and related sciences,Biological and Chemical Sciences,555.0,555.0
CK404,412.0,,467.0,,Biological and related sciences,Biological,,500.0
CK405,476.0,,487.0,,Biological and related sciences,Genetics,543.0,
CK406,457.0,,485.0,472.0,Physical sciences,Chemical Sciences,532.0,
CK407,531.0,,566.0,565.0,Mathematics and statistics,Mathematical Sciences,566.0,
CK408,511.0,,554.0,542.0,Physical sciences,Physics and Astrophysics,566.0,
CK409,413.0,,432.0,,Physical sciences,Industrial Physics - Offered jointly by UCC and CI,465.0,
CK411,509.0,,510.0,,Information and Communication Technologies (ICTs),Data Science and Analytics,531.0,
CK504,492.0,,518.0,,Biological and related sciences,Nutritional Sciences,555.0,554.0
CK505,444.0,,441.0,440.0,Manufacturing and processing,Food Science,463.0,
CK600,465.0,,487.0,,Engineering and engineering trades,Engineering,510.0,509.0
CK606,465.0,,484.0,476.0,Architecture and construction,Architecture - Offered jointly by UCC and CIT,543.0,
CK701,729.0,,731.0,,Health,Medicine (Undergraduate Entry - HPAT required),738.0,737.0
CK702,590.0,,613.0,613.0,Health,Dentistry,625.0,625.0
CK703,577.0,,590.0,589.0,Health,Pharmacy,613.0,613.0
CK704,532.0,,566.0,555.0,Health,Occupational Therapy,601.0,
CK705,509.0,,520.0,,Health,Speech and Language Therapy,568.0,566.0
CK706,419.0,,454.0,,Health,Public Health Sciences,500.0,
CK707,510.0,,542.0,541.0,Health,Medical and Health Sciences,578.0,
CK710,440.0,,454.0,,Health,General Nursing,498.0,497.0
CK712,499.0,,533.0,,Health,Children`s and General Nursing (Integrated),565.0,
CK720,398.0,,423.0,,Health,Mental Health Nursing,455.0,452.0
CK730,359.0,,419.0,411.0,Health,Intellectual Disability Nursing,431.0,
CK740,444.0,,484.0,,Health,Midwifery,509.0,
AC120,234.0,,209.0,,Business and administration,International Business,294.0,294.0
AC137,252.0,,252.0,,Humanities (except languages),Liberal Arts,271.0,270.0
CT125,235.0,,220.0,,Information and Communication Technologies (ICTs),Computing and IT,242.0,242.0
CM001,452.0,,484.0,,Education,Education - Primary Teaching,508.0,
CM002,421.0,,,,Education,Education - Primary Teaching - Gaeltacht Applicant,462.0,
CM003,491.0,,528.0,,Education,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,
CM004,492.0,,494.0,,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,
CM010,317.0,,319.0,,Education,Education Studies,382.0,327.0
CM020,336.0,,327.0,,Education,Early Childhood Education,317.0,
DB500,242.0,,218.0,218.0,Information and Communication Technologies (ICTs),Computing,234.0,234.0
DB501,326.0,,227.0,227.0,Information and Communication Technologies (ICTs),Computing (Cloud Computing),178.0,
DB502,269.0,,341.0,341.0,Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),267.0,233.0
DB510,233.0,,234.0,223.0,Arts,Audio Production and Music Project Management,217.0,217.0
DB512,229.0,,218.0,203.0,Business and administration,Business Studies,243.0,210.0
DB514,269.0,,252.0,,Business and administration,Business Studies (Law),239.0,225.0
DB515,225.0,,244.0,244.0,Business and administration,Business Studies (Human Resource Management),242.0,217.0
DB517,226.0,,238.0,,Business and administration,Marketing (Event Management),233.0,225.0
DB521,225.0,,225.0,195.0,Business and administration,Accounting and Finance,243.0,228.0
DB524,402.0,,342.0,309.0,Information and Communication Technologies (ICTs),Business (Information Systems),247.0,239.0
DB526,253.0,,347.0,,Information and Communication Technologies (ICTs),Business (Cloud Computing),244.0,244.0
DB527,235.0,,234.0,260.0,Social and behavioural sciences,Applied Social Care,254.0,219.0
DB531,220.0,,293.0,,Business and administration,Marketing,288.0,176.0
DB562,208.0,,243.0,229.0,Social and behavioural sciences,Psychology,244.0,233.0
DB566,216.0,,220.0,227.0,Social and behavioural sciences,Social Science,262.0,228.0
DB567,192.0,,218.0,202.0,Arts,Film and Creative Media,245.0,213.0
DB568,245.0,,219.0,252.0,Law,Law,254.0,228.0
DC001,398.0,,440.0,,Education,Education - Early Childhood Education,445.0,
DC002,462.0,,488.0,,Education,Education - Primary Teaching,518.0,
DC003,433.0,,445.0,,Education,Education - Primary Teaching - Gaeltacht Applicant,489.0,
DC004,357.0,,411.0,409.0,Education,Education - Primary Teaching (Church of Ireland Ce,451.0,
DC009,347.0,,376.0,,Arts,Arts (Joint Honours) - Humanities,356.0,
DC010,386.0,,441.0,429.0,Education,Post Primary Teacher Education - Religious Educati,384.0,
DC011,352.0,,412.0,391.0,Education,Post Primary Teacher Education - Religious Educati,409.0,
DC012,367.0,,378.0,,Education,Post Primary Teacher Education - Religious Educati,409.0,
DC013,410.0,,419.0,,Education,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,
DC014,428.0,,419.0,,Arts,BA in Jazz and Contemporary Music Performance (aud,311.0,
DC110,440.0,,465.0,,Languages,Business Studies International,498.0,
DC111,463.0,,488.0,,Business and administration,Business Studies,511.0,
DC112,495.0,,517.0,510.0,Business and administration,Global Business (France),542.0,
DC113,440.0,,462.0,,Business and administration,Global Business (Germany),484.0,
DC114,501.0,,522.0,,Business and administration,Global Business (Spain),544.0,
DC115,487.0,,510.0,,Business and administration,Accounting and Finance,544.0,
DC116,578.0,,579.0,,Business and administration,Global Business (USA),613.0,
DC117,463.0,,476.0,475.0,Engineering and engineering trades,Aviation Management / Aviation Management with Pil,484.0,
DC118,357.0,,359.0,,Business and administration,Gná agus Gaeilge / Business and Irish,368.0,
DC119,566.0,,564.0,,Business and administration,Global Business (Canada),601.0,
DC120,350.0,,357.0,,Information and Communication Technologies (ICTs),Computing for Business,403.0,402.0
DC121,370.0,,400.0,,Information and Communication Technologies (ICTs),Computer Science,475.0,
DC123,467.0,,465.0,,Information and Communication Technologies (ICTs),Data Science,501.0,
DC126,520.0,,560.0,,Mathematics and statistics,Actuarial Mathematics,577.0,
DC127,509.0,,532.0,520.0,Mathematics and statistics,Common Entry into Actuarial and Financial Mathemat,541.0,
DC131,400.0,,407.0,402.0,Humanities (except languages),Communication Studies,421.0,
DC132,401.0,,429.0,422.0,Journalism and information,Journalism,452.0,
DC133,403.0,,411.0,410.0,Arts,Multimedia,435.0,
DC155,371.0,,387.0,,Languages,Applied Language and Translation Studies,427.0,
DC161,446.0,,498.0,489.0,Physical sciences,Analytical Science,498.0,
DC162,488.0,,521.0,,Physical sciences,Chemical and Pharmaceutical Sciences,531.0,
DC166,412.0,,433.0,399.0,Environment,Environmental Science and Technology,423.0,
