,Course_Code,Course_Name,R1_Points,R2_Points
152,CK409,Industrial Physics - Offered jointly by UCC and CI,465,
153,CK411,Data Science and Analytics,531,
154,CK412,Agricultural Science,506,
155,CK504,Nutritional Sciences,555,554
156,CK505,Food Science,463,
157,CK600,Engineering,510,509
158,CK606,Architecture - Offered jointly by UCC and CIT,543,
159,CK701,Medicine (Undergraduate Entry - HPAT required),738,737
160,CK702,Dentistry,625,625
161,CK703,Pharmacy,613,613
162,CK704,Occupational Therapy,601,
163,CK705,Speech and Language Therapy,568,566
164,CK706,Public Health Sciences,500,
165,CK707,Medical and Health Sciences,578,
166,CK710,General Nursing,498,497
167,CK712,Children`s and General Nursing (Integrated),565,
168,CK720,Mental Health Nursing,455,452
169,CK730,Intellectual Disability Nursing,431,
170,CK740,Midwifery,509,
171,AC120,International Business,294,294
172,AC137,Liberal Arts,271,270
173,CT125,Computing and IT,242,242
174,CT325,Business,253,253
175,CM001,Education - Primary Teaching,508,
176,CM002,Education - Primary Teaching - Gaeltacht Applicant,462,
177,CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513,
178,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480,
179,CM010,Education Studies,382,327
180,CM020,Early Childhood Education,317,
181,DB500,Computing,234,234
182,DB501,Computing (Cloud Computing),178,
183,DB502,Computing (Data Analytics and Big Data),267,233
184,DB510,Audio Production and Music Project Management,217,217
185,DB512,Business Studies,243,210
186,DB514,Business Studies (Law),239,225
187,DB515,Business Studies (Human Resource Management),242,217
188,DB517,Marketing (Event Management),233,225
189,DB518,Marketing (Digital Media),307,209
190,DB521,Accounting and Finance,243,228
191,DB524,Business (Information Systems),247,239
192,DB525,Marketing (Digital Media and Cloud Computing),288,288
193,DB526,Business (Cloud Computing),244,244
194,DB527,Applied Social Care,254,219
195,DB531,Marketing,288,176
196,DB562,Psychology,244,233
197,DB566,Social Science,262,228
198,DB567,Film and Creative Media,245,213
199,DB568,Law,254,228
200,DB569,Business (Psychology),240,240
201,DC001,Education - Early Childhood Education,445,
202,DC002,Education - Primary Teaching,518,
203,DC003,Education - Primary Teaching - Gaeltacht Applicant,489,
204,DC004,Education - Primary Teaching (Church of Ireland Ce,451,
205,DC009,Arts (Joint Honours) - Humanities,356,
206,DC010,Post Primary Teacher Education - Religious Educati,384,
207,DC011,Post Primary Teacher Education - Religious Educati,409,
208,DC012,Post Primary Teacher Education - Religious Educati,409,
209,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,
210,DC014,BA in Jazz and Contemporary Music Performance (aud,311,
211,DC110,Business Studies International,498,
212,DC111,Business Studies,511,
213,DC112,Global Business (France),542,
214,DC113,Global Business (Germany),484,
215,DC114,Global Business (Spain),544,
216,DC115,Accounting and Finance,544,
217,DC116,Global Business (USA),613,
218,DC117,Aviation Management / Aviation Management with Pil,484,
219,DC118,Gná agus Gaeilge / Business and Irish,368,
220,DC119,Global Business (Canada),601,
221,DC120,Computing for Business,403,402
222,DC121,Computer Science,475,
223,DC123,Data Science,501,
224,DC126,Actuarial Mathematics,577,
225,DC127,Common Entry into Actuarial and Financial Mathemat,541,
226,DC131,Communication Studies,421,
227,DC132,Journalism,452,
228,DC133,Multimedia,435,
229,DC155,Applied Language and Translation Studies,427,
230,DC161,Analytical Science,498,
231,DC162,Chemical and Pharmaceutical Sciences,531,
232,DC163,Chemical Sciences General Entry (Undenominated Ent,466,
233,DC166,Environmental Science and Technology,423,
234,DC168,Genetics and Cell Biology,543,
235,DC175,Physics General Entry (options),400,
236,DC180,Biological Sciences General Entry (Undenominated E,530,
237,DC181,Biotechnology,530,
238,DC190,Electronic and Computer Engineering (with choice o,488,
239,DC193,Mechatronic Engineering,490,
240,DC194,Sustainable Systems and Energy,476,
241,DC195,Mechanical and Manufacturing Engineering,500,
242,DC197,Biomedical Engineering,510,
243,DC200,Common Entry into Engineering (Undenominated Entry,511,510
244,DC202,Sport Science and Health,511,
245,DC203,Science Education,462,
246,DC204,Athletic Therapy and Training,558,
247,DC205,Physical Education with Biology,565,
248,DC206,Physical Education with Mathematics,521,
249,DC207,Psychology and Mathematics,521,
250,DC208,Psychology,565,
251,DC209,Health and Society,477,
252,DC210,Psychology and Disruptive Technologies,506,
253,DC215,General Nursing,456,
254,DC216,Mental Health Nursing,420,
255,DC217,Intellectual Disability Nursing,382,
256,DC218,Children`s and General Nursing (Integrated),521,
257,DC230,Economics,Politics and Law,431
258,DC231,International Relations,398,
259,DC232,Law and Society (BCL),469,
260,DC235,Education and Training - Daytime and Flexible Deli,302,
