,Course_Code,Course_Name,R1_Points21,R2_Points21
136,CK206,Commerce (International) with German,466.0,455.0
137,CK207,Commerce (International) with Italian,423.0,418.0
138,CK208,Commerce (International) with Hispanic Studies,488.0,486.0
139,CK209,Commerce (International) with Irish,507.0,
140,CK211,Commerce (International) with Chinese Studies,385.0,
141,CK212,Economics (through Transformational Learning) 3 or,445.0,444.0
142,CK213,Food Marketing and Entrepreneurship,466.0,
143,CK214,International Development,332.0,
144,CK301,Law (Pathways) -  3 or 4 years,533.0,532.0
145,CK302,Law and French,545.0,
146,CK304,Law and Irish,588.0,
147,CK307,Law and Business,589.0,589.0
148,CK401,Computer Science,503.0,495.0
149,CK402,Biological and Chemical Sciences,555.0,555.0
150,CK404,Biological  Earth and Environmental Sciences,500.0,495.0
151,CK405,Genetics,543.0,
152,CK406,Chemical Sciences,532.0,
153,CK407,Mathematical Sciences,566.0,
154,CK408,Physics and Astrophysics,566.0,
155,CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,
156,CK411,Data Science and Analytics,531.0,
157,CK412,Agricultural Science,506.0,
158,CK504,Nutritional Sciences,555.0,554.0
159,CK505,Food Science,463.0,
160,CK600,Engineering,510.0,509.0
161,CK606,Architecture - Offered jointly by UCC and CIT,543.0,
162,CK701,Medicine (Undergraduate Entry - HPAT required),738.0,737.0
163,CK702,Dentistry,625.0,625.0
164,CK703,Pharmacy,613.0,613.0
165,CK704,Occupational Therapy,601.0,
166,CK705,Speech and Language Therapy,568.0,566.0
167,CK706,Public Health Sciences,500.0,
168,CK707,Medical and Health Sciences,578.0,
169,CK710,General Nursing,498.0,497.0
170,CK712,Children`s and General Nursing (Integrated),565.0,
171,CK720,Mental Health Nursing,455.0,452.0
172,CK730,Intellectual Disability Nursing,431.0,
173,CK740,Midwifery,509.0,
174,CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,60.0
175,AC120,International Business,294.0,294.0
176,AC137,Liberal Arts,271.0,270.0
177,CT125,Computing and IT,242.0,242.0
178,CT325,Business,253.0,253.0
179,CM001,Education - Primary Teaching,508.0,
180,CM002,Education - Primary Teaching - Gaeltacht Applicant,462.0,
181,CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,
