,Course_Code,Course_Name,R1_Points21,R2_Points21
,Course_Code,Course_Name,121.0,221.0
,Course_Code,Course_Name,1210.0,2210.0
,Course_Code,Course_Name,12100.0,22100.0
0.0,AL801,Software Design for Virtual Reality and Gaming,300000.0,
1.0,AL802,Software Design in Artificial Intelligence for Clo,313000.0,
2.0,AL803,Software Design for Mobile Apps and Connected Devi,350000.0,
3.0,AL805,Computer Engineering for Network Infrastructure,321000.0,
4.0,AL810,Quantity Surveying,328000.0,
5.0,AL811,Civil Engineering,,
6.0,AL820,Mechanical and Polymer Engineering,327000.0,
7.0,AL830,General Nursing,451000.0,444000.0
8.0,AL832,Mental Health Nursing,440000.0,431000.0
9.0,AL835,Pharmacology,356000.0,
10.0,AL836,Nutrition and Health Science,346000.0,
11.0,AL837,Sports Science with Exercise Physiology,357000.0,
12.0,AL838,Biotechnology,324000.0,
13.0,AL839,Microbiology,325000.0,
14.0,AL840,Pharmaceutical Sciences,346000.0,
15.0,AL841,Athletic and Rehabilitation Therapy,477000.0,476000.0
16.0,AL842,Bioveterinary Science,338000.0,
17.0,AL843,Physical Activity and Health Science,306000.0,
18.0,AL849,Culinary Entrepreneurship,297000.0,
19.0,AL850,Business,309000.0,
20.0,AL851,Business and Law,302000.0,
21.0,AL852,Accounting,336000.0,
22.0,AL854,Sport Management (with international placement),300000.0,299000.0
23.0,AL855,Hospitality Management (with international placeme,309000.0,
24.0,AL857,Digital Marketing,304000.0,
25.0,AL859,International Business,308000.0,
26.0,AL860,Social Care Practice,301000.0,
27.0,AL861,Animation and Illustration (portfolio),575000.0,
28.0,AL863,Graphic and Digital Design (portfolio),747000.0,
29.0,AL864,Early Years Care and Education,306000.0,
30.0,AL870,Applied Psychology,484000.0,467000.0
31.0,CW018,Business (options),307000.0,
32.0,CW028,Early Childhood Education and Care,260000.0,
33.0,CW038,Art (portfolio),700000.0,
34.0,CW058,Tourism and Event Management,292000.0,
35.0,CW068,Applied Social Studies in Professional Social Care,250000.0,
36.0,CW078,Sustainable Farm Management and Agribusiness,270000.0,
37.0,CW088,Visual Communications and Design,270000.0,
38.0,CW108,Science (options),266000.0,
39.0,CW128,Brewing and Distilling,307000.0,
40.0,CW138,Sport and Exercise Science,430000.0,423000.0
41.0,CW148,Strength and Conditioning,388000.0,
42.0,CW188,Sport Rehabilitation and Athletic Therapy,451000.0,
43.0,CW208,Computer Games Development,272000.0,
44.0,CW238,Software Development,295000.0,
45.0,CW248,Information Technology Management,293000.0,
46.0,CW258,Cybercrime and IT Security,292000.0,
47.0,CW268,Computing in Interactive Digital Art and Design,291000.0,
48.0,CW438,Construction (options),260000.0,251000.0
49.0,CW468,Architectural Technology,291000.0,283000.0
50.0,CW478,Civil Engineering,465000.0,
51.0,CW548,Mechanical Engineering,330000.0,328000.0
52.0,CW558,Electronic Systems,280000.0,
53.0,CW568,Aerospace Engineering,371000.0,359000.0
54.0,CW578,TV and Media Production,318000.0,
55.0,CW708,Law - LLB,292000.0,
