,Course_Code,Course_Name,R1_Points21,R2_Points21
56.0,CW728,Product Design Innovation,246000.0,
57.0,CW748,Early Childhood Education and Care,290000.0,
58.0,CW758,Professional Social Care Practice,360000.0,358000.0
59.0,CW808,Media and Public Relations,247000.0,
60.0,CW848,Digital Marketing with Analytics,269000.0,
61.0,CW858,Sports Management and Coaching (options  portfolio,700000.0,
62.0,CW908,Business (options),272000.0,
63.0,CW938,Business with Law,270000.0,
64.0,CW948,Accounting,319000.0,
65.0,PC405,Social  Political and Community Studies,263000.0,235000.0
66.0,PC410,Arts and Humanities (fulfils Teaching Council requ,262000.0,230000.0
67.0,PC411,English and History (fulfils Teaching Council requ,243000.0,224000.0
68.0,CR105,Chemical and Biopharmaceutical Engineering,443000.0,
69.0,CR106,Software Development,431000.0,
70.0,CR108,Mechanical Engineering,434000.0,
71.0,CR109,Structural Engineering,396000.0,
72.0,CR110,Automotive Business Management and Technology,336000.0,
73.0,CR112,Creative Digital Media at CIT Crawford College of,390000.0,
74.0,CR116,Computer Systems,365000.0,
75.0,CR121,Music at CIT Cork School of Music,904000.0,904000.0
76.0,CR125,Popular Music at CIT Cork School of Music,1028000.0,
77.0,CR130,Musical Theatre at CIT Cork School of Music,525000.0,
78.0,CR150,Business Information Systems,350000.0,
79.0,CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450000.0,
80.0,CR220,Fine Art at CIT Crawford College of Art and Design,400000.0,
81.0,CR225,Photography with New Media at CIT Crawford College,435000.0,
82.0,CR305,Physical Sciences (Common Entry),260000.0,
83.0,CR310,IT Management,347000.0,
84.0,CR320,Biomedical Science - Offered jointly by CIT and UC,590000.0,
85.0,CR325,Pharmaceutical Biotechnology,466000.0,
86.0,CR333,Nutrition and Health Science,425000.0,
87.0,CR335,Biological Sciences (Common Entry),473000.0,
88.0,CR340,Analytical Chemistry with Quality Assurance,327000.0,
89.0,CR360,Instrument Engineering,301000.0,
90.0,CR365,Environmental Science and Sustainable Technology,262000.0,
91.0,CR370,Agri-Biosciences,368000.0,
92.0,CR400,Accounting,315000.0,
93.0,CR420,Marketing,290000.0,
94.0,CR425,International Business with Language,279000.0,
95.0,CR430,Sport and Exercise Management,402000.0,
96.0,CR435,Coaching Science and Sports Pedagogy,410000.0,
97.0,CR440,Montessori Education,409000.0,408000.0
98.0,CR500,Engineering (Common Entry),475000.0,
99.0,CR510,Sustainable Energy Engineering,320000.0,
100.0,CR520,Biomedical Engineering,444000.0,
101.0,CR560,Architectural Technology,375000.0,
102.0,CR565,Interior Architecture,431000.0,
103.0,CR570,Quantity Surveying,375000.0,
104.0,CR572,Construction Management,300000.0,
105.0,CR580,Electrical Engineering,342000.0,
106.0,CR590,Electronic Engineering,329000.0,
107.0,CR600,Visual Communications at CIT Crawford College of A,280000.0,
108.0,CR660,Tourism Management,246000.0,
109.0,CR700,Theatre and Drama Studies at CIT Cork School of Mu,609000.0,609000.0
110.0,CR930,Home Economics and Business,518000.0,
111.0,CK101,Arts - 3 years,300000.0,
112.0,CK102,Social Science,434000.0,431000.0
113.0,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339000.0,
114.0,CK105,Film and Screen Media - 3 years or 4 years (Intern,421000.0,420000.0
115.0,CK107,Geographical and Archaeological Sciences - 3 or 4,312000.0,
116.0,CK108,Arts International - 4 years,440000.0,440000.0
117.0,CK109,English - 3 years or 4 years (International Pathwa,367000.0,357000.0
118.0,CK110,World Languages,488000.0,
119.0,CK111,Early Years and Childhood Studies,409000.0,403000.0
120.0,CK112,Theatre and Performative Practices - 3 or 4 years,371000.0,
121.0,CK113,Criminology - 3 years or 4 years (International Pa,464000.0,463000.0
122.0,CK114,Social Science (Youth and Community Work),,
123.0,CK115,Social Work - Mature Applicants only,,
124.0,CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347000.0,339000.0
125.0,CK120,Applied Psychology,544000.0,543000.0
126.0,CK121,Psychology and Computing - 3 or 4 years (Work Expe,499000.0,488000.0
127.0,CK122,Government and Political Science,399000.0,
128.0,CK123,Anthropology,308000.0,
129.0,CK124,Education - Gaeilge,473000.0,
130.0,CK125,Sports Studies and Physical Education,564000.0,555000.0
131.0,CK201,Commerce,500000.0,499000.0
132.0,CK202,Accounting,553000.0,543000.0
133.0,CK203,Business Information Systems,455000.0,452000.0
134.0,CK204,Finance,566000.0,566000.0
135.0,CK205,Commerce (International) with French,465000.0,
136.0,CK206,Commerce (International) with German,466000.0,455000.0
137.0,CK207,Commerce (International) with Italian,423000.0,418000.0
138.0,CK208,Commerce (International) with Hispanic Studies,488000.0,486000.0
139.0,CK209,Commerce (International) with Irish,507000.0,
140.0,CK211,Commerce (International) with Chinese Studies,385000.0,
141.0,CK212,Economics (through Transformational Learning) 3 or,445000.0,444000.0
142.0,CK213,Food Marketing and Entrepreneurship,466000.0,
143.0,CK214,International Development,332000.0,
144.0,CK301,Law (Pathways) -  3 or 4 years,533000.0,532000.0
145.0,CK302,Law and French,545000.0,
146.0,CK304,Law and Irish,588000.0,
147.0,CK307,Law and Business,589000.0,589000.0
148.0,CK401,Computer Science,503000.0,495000.0
149.0,CK402,Biological and Chemical Sciences,555000.0,555000.0
150.0,CK404,Biological  Earth and Environmental Sciences,500000.0,495000.0
151.0,CK405,Genetics,543000.0,
152.0,CK406,Chemical Sciences,532000.0,
153.0,CK407,Mathematical Sciences,566000.0,
154.0,CK408,Physics and Astrophysics,566000.0,
155.0,CK409,Industrial Physics - Offered jointly by UCC and CI,465000.0,
156.0,CK411,Data Science and Analytics,531000.0,
157.0,CK412,Agricultural Science,506000.0,
158.0,CK504,Nutritional Sciences,555000.0,554000.0
159.0,CK505,Food Science,463000.0,
160.0,CK600,Engineering,510000.0,509000.0
161.0,CK606,Architecture - Offered jointly by UCC and CIT,543000.0,
162.0,CK701,Medicine (Undergraduate Entry - HPAT required),738000.0,737000.0
163.0,CK702,Dentistry,625000.0,625000.0
164.0,CK703,Pharmacy,613000.0,613000.0
165.0,CK704,Occupational Therapy,601000.0,
166.0,CK705,Speech and Language Therapy,568000.0,566000.0
167.0,CK706,Public Health Sciences,500000.0,
168.0,CK707,Medical and Health Sciences,578000.0,
169.0,CK710,General Nursing,498000.0,497000.0
170.0,CK712,Children`s and General Nursing (Integrated),565000.0,
171.0,CK720,Mental Health Nursing,455000.0,452000.0
172.0,CK730,Intellectual Disability Nursing,431000.0,
173.0,CK740,Midwifery,509000.0,
174.0,CK791,Medicine  - Graduate Entry (GAMSAT required),60000.0,60000.0
175.0,AC120,International Business,294000.0,294000.0
176.0,AC137,Liberal Arts,271000.0,270000.0
177.0,CT125,Computing and IT,242000.0,242000.0
178.0,CT325,Business,253000.0,253000.0
179.0,CM001,Education - Primary Teaching,508000.0,
180.0,CM002,Education - Primary Teaching - Gaeltacht Applicant,462000.0,
181.0,CM003,Oideachas ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ BunmhÃƒÆ’Ã‚Âºinteoireacht TrÃƒÆ’Ã‚Â­ MheÃƒÆ’Ã‚Â¡n na Gaeilg,513000.0,
182.0,CM004,Oideachas - BunmhÃƒÆ’Ã‚Âºinteoireacht TrÃƒÆ’Ã‚Â­ MheÃƒÆ’Ã‚Â¡n na Gaeilg,480000.0,
183.0,CM010,Education Studies,382000.0,327000.0
184.0,CM020,Early Childhood Education,317000.0,
185.0,DB500,Computing,234000.0,234000.0
186.0,DB501,Computing (Cloud Computing),,178000.0
187.0,DB502,Computing (Data Analytics and Big Data),267000.0,233000.0
188.0,DB503,Computing (Software Development),,
189.0,DB504,Computing (Web and Mobile Technology),,
190.0,DB510,Audio Production and Music Project Management,217000.0,217000.0
191.0,DB512,Business Studies,243000.0,210000.0
192.0,DB514,Business Studies (Law),239000.0,225000.0
193.0,DB515,Business Studies (Human Resource Management),242000.0,217000.0
194.0,DB517,Marketing (Event Management),233000.0,225000.0
195.0,DB518,Marketing (Digital Media),307000.0,209000.0
196.0,DB521,Accounting and Finance,243000.0,228000.0
197.0,DB524,Business (Information Systems),247000.0,239000.0
198.0,DB525,Marketing (Digital Media and Cloud Computing),288000.0,288000.0
199.0,DB526,Business (Cloud Computing),244000.0,244000.0
200.0,DB527,Applied Social Care,254000.0,219000.0
201.0,DB531,Marketing,288000.0,176000.0
202.0,DB562,Psychology,244000.0,233000.0
203.0,DB566,Social Science,262000.0,228000.0
204.0,DB567,Film and Creative Media,245000.0,213000.0
205.0,DB568,Law,254000.0,228000.0
206.0,DB569,Business (Psychology),240000.0,240000.0
207.0,DC001,Education - Early Childhood Education,445000.0,
208.0,DC002,Education - Primary Teaching,518000.0,
209.0,DC003,Education - Primary Teaching - Gaeltacht Applicant,489000.0,
210.0,DC004,Education - Primary Teaching (Church of Ireland Ce,451000.0,
211.0,DC009,Arts (Joint Honours) - Humanities,356000.0,
212.0,DC010,Post Primary Teacher Education - Religious Educati,384000.0,
213.0,DC011,Post Primary Teacher Education - Religious Educati,409000.0,
214.0,DC012,Post Primary Teacher Education - Religious Educati,409000.0,
215.0,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413000.0,
216.0,DC014,BA in Jazz and Contemporary Music Performance (aud,311000.0,
217.0,DC110,Business Studies International,498000.0,
218.0,DC111,Business Studies,511000.0,
219.0,DC112,Global Business (France),542000.0,
220.0,DC113,Global Business (Germany),484000.0,
221.0,DC114,Global Business (Spain),544000.0,
222.0,DC115,Accounting and Finance,544000.0,
223.0,DC116,Global Business (USA),613000.0,
224.0,DC117,Aviation Management / Aviation Management with Pil,484000.0,
225.0,DC118,GnÃƒÆ’Ã‚Â¡ agus Gaeilge / Business and Irish,368000.0,
226.0,DC119,Global Business (Canada),601000.0,
227.0,DC120,Computing for Business,403000.0,402000.0
228.0,DC121,Computer Science,475000.0,
229.0,DC123,Data Science,501000.0,
230.0,DC126,Actuarial Mathematics,577000.0,
231.0,DC127,Common Entry into Actuarial and Financial Mathemat,541000.0,
232.0,DC131,Communication Studies,421000.0,
233.0,DC132,Journalism,452000.0,
234.0,DC133,Multimedia,435000.0,
235.0,DC155,Applied Language and Translation Studies,427000.0,
236.0,DC161,Analytical Science,498000.0,
237.0,DC162,Chemical and Pharmaceutical Sciences,531000.0,
238.0,DC163,Chemical Sciences General Entry (Undenominated Ent,466000.0,
239.0,DC166,Environmental Science and Technology,423000.0,
240.0,DC168,Genetics and Cell Biology,543000.0,
241.0,DC175,Physics General Entry (options),400000.0,
242.0,DC180,Biological Sciences General Entry (Undenominated E,530000.0,
243.0,DC181,Biotechnology,530000.0,
244.0,DC190,Electronic and Computer Engineering (with choice o,488000.0,
245.0,DC193,Mechatronic Engineering,490000.0,
246.0,DC194,Sustainable Systems and Energy,476000.0,
247.0,DC195,Mechanical and Manufacturing Engineering,500000.0,
248.0,DC197,Biomedical Engineering,510000.0,
249.0,DC200,Common Entry into Engineering (Undenominated Entry,511000.0,510000.0
250.0,DC202,Sport Science and Health,511000.0,
251.0,DC203,Science Education,462000.0,
252.0,DC204,Athletic Therapy and Training,558000.0,
253.0,DC205,Physical Education with Biology,565000.0,
254.0,DC206,Physical Education with Mathematics,521000.0,
255.0,DC207,Psychology and Mathematics,521000.0,
256.0,DC208,Psychology,565000.0,
257.0,DC209,Health and Society,477000.0,
258.0,DC210,Psychology and Disruptive Technologies,506000.0,
259.0,DC215,General Nursing,456000.0,
260.0,DC216,Mental Health Nursing,420000.0,
261.0,DC217,Intellectual Disability Nursing,382000.0,
262.0,DC218,Children`s and General Nursing (Integrated),521000.0,
263.0,DC230,Economics  Politics and Law,431000.0,
264.0,DC231,International Relations,398000.0,
265.0,DC232,Law and Society (BCL),469000.0,
266.0,DC235,Education and Training - Daytime and Flexible Deli,302000.0,
267.0,DC238,Social Sciences and Cultural Innovation,387000.0,
268.0,DC240,Marketing  Innovation and Technology,499000.0,
269.0,DC241,Digital Business and Innovation,509000.0,
270.0,DC291,Arts (Joint Honours) - Media Studies,350000.0,
271.0,DC292,Arts (Joint Honours) - Law,400000.0,
272.0,DC293,Arts (Joint Honours) - International Languages,379000.0,
273.0,DC294,Climate and Environmental Sustainability,475000.0,
274.0,DC295,Arts (Joint Honours) - Politics,349000.0,
275.0,DL822,Arts Management,254000.0,
276.0,DL823,Business Management,220000.0,
277.0,DL825,Applied Psychology,418000.0,413000.0
278.0,DL826,Graphic Design,591000.0,
279.0,DL827,Art,574000.0,
280.0,DL832,Animation,989000.0,
281.0,DL833,Photography and Visual Media,671000.0,671000.0
282.0,DL836,Creative Computing,235000.0,
283.0,DL837,New Media Studies,298000.0,293000.0
284.0,DL838,Creative Music Production,713000.0,
285.0,DL839,Interaction and User Experience Design,757000.0,
286.0,DL840,Digital Marketing,210000.0,
287.0,DL841,English and Equality Studies,277000.0,277000.0
288.0,DL843,Film,987000.0,874000.0
289.0,DL844,Television,566000.0,
290.0,DL845,Design for Film (degree options),628000.0,
291.0,GC200,Business,269000.0,242000.0
292.0,GC201,Accounting and Finance,260000.0,226000.0
293.0,GC230,Computing Science,300000.0,289000.0
294.0,GC300,Business,264000.0,264000.0
295.0,GC301,Accounting and Finance,,251000.0
296.0,GC302,Business - HRM,377000.0,377000.0
297.0,GC307,Business (Marketing),289000.0,270000.0
298.0,GC400,Business,250000.0,228000.0
299.0,GC401,Accounting and Finance,242000.0,242000.0
300.0,GC402,Business (HRM),,
301.0,GC403,Law,245000.0,242000.0
302.0,GC407,Business (Marketing),264000.0,264000.0
303.0,GC430,Computing Science,251000.0,251000.0
304.0,GC450,Communications and Media Production,225000.0,225000.0
305.0,GC462,Design Communication (portfolio),300000.0,
306.0,GC489,Interior Architecture (portfolio),288000.0,274000.0
307.0,GC494,Fashion Design (portfolio),351000.0,
308.0,BY001,Business,210000.0,210000.0
309.0,ID001,Accounting and Finance,,
310.0,ID002,Business Studies,,
311.0,AD101,First Year Art and Design (Common Entry portfolio),554000.0,
312.0,AD102,Graphic Design and Moving Image Design (portfolio),538000.0,
313.0,AD103,Textile and Surface Design and Jewellery and Objec,505000.0,
314.0,AD202,Education and Design or Fine Art (Second Level Tea,591000.0,
315.0,AD204,Fine Art (portfolio),514000.0,
316.0,AD211,Fashion Design (portfolio),760000.0,679000.0
317.0,AD212,Product Design (portfolio),413000.0,
318.0,AD215,Visual Culture,337000.0,300000.0
319.0,AD217,Illustration (portfolio),738000.0,
320.0,AD222,Interaction Design (portfolio),444000.0,
321.0,NC003,Computing (Degree Award options),271000.0,
322.0,NC005,Human Resource Management,301000.0,
323.0,NC009,Business,300000.0,
324.0,NC010,Psychology,420000.0,
325.0,NC020,Marketing Practice,270000.0,
326.0,NC022,Accounting and Finance,330000.0,
327.0,NC023,Technology Management (with specialisations),266000.0,
328.0,NC030,Early Childhood Education and Care,251000.0,251000.0
329.0,RC001,Medicine - Undergraduate Entry (HPAT required),741000.0,740000.0
330.0,RC004,Physiotherapy,589000.0,589000.0
331.0,RC005,Pharmacy,613000.0,613000.0
332.0,RC101,Medicine - Graduate Entry (GAMSAT required),,
333.0,NM801,Montessori Education,262000.0,
334.0,NM802,Psychology,228000.0,
335.0,TU801,Sustainable Energy Engineering,235000.0,
336.0,TU802,Electrical Services and Energy Management,309000.0,
337.0,TU804,Engineering (Common Entry with Award options),270000.0,
338.0,TU805,Engineering (General Entry),466000.0,465000.0
339.0,TU807,Computer Engineering in Mobile Systems,274000.0,
340.0,TU810,Mechatronic Engineering,271000.0,
341.0,TU811,Product Design,440000.0,434000.0
342.0,TU812,Design Technology and Innovation,278000.0,
343.0,TU814,Sustainable Transport Management,253000.0,253000.0
344.0,TU828,Mechanical Engineering (General Entry),300000.0,
345.0,TU829,Electronic Engineering (General Entry),248000.0,248000.0
346.0,TU831,Architectural Technology,423000.0,
347.0,TU832,Architecture (Suitability Test and Interview),644000.0,638000.0
348.0,TU833,Construction Management,396000.0,
349.0,TU834,Geographic Science,315000.0,
350.0,TU835,Planning and Environmental Management,330000.0,
351.0,TU836,Property Economics (Valuation Surveying),411000.0,
352.0,TU837,Quantity Surveying and Construction Economics,413000.0,
353.0,TU838,Sustainable Timber Technology,307000.0,271000.0
354.0,TU851,Analytical Chemistry (Environmental  Forensic and,400000.0,
355.0,TU852,Chemical Sciences with Medicinal Chemistry,477000.0,
356.0,TU854,Science (General Entry),510000.0,
357.0,TU855,Science with Nanotechnology,322000.0,
358.0,TU856,Computer Science,499000.0,
359.0,TU857,Computer Science (Infrastructure),403000.0,
360.0,TU858,Computer Science (International),395000.0,
361.0,TU859,Computing,251000.0,
362.0,TU860,Computing (Information Technology),270000.0,
363.0,TU861,Computing with Language (French/German/Spanish),235000.0,235000.0
364.0,TU862,Computing with Artificial Intelligence Machine Lea,262000.0,
365.0,TU863,Digital Forensics and Cyber Security,282000.0,
366.0,TU864,DNA and Forensic Analysis,500000.0,441000.0
367.0,TU865,Cloud Computing,235000.0,
368.0,TU866,Biomedical and Molecular Diagnostics,522000.0,
369.0,TU867,Biomedical Science,576000.0,566000.0
370.0,TU868,Clinical Measurement Science,542000.0,
371.0,TU869,Environmental Health,387000.0,
372.0,TU870,Human Nutrition and Dietetics,601000.0,
373.0,TU871,Optometry,532000.0,
374.0,TU872,Public Health Nutrition,487000.0,
375.0,TU874,Mathematical Sciences,294000.0,294000.0
376.0,TU875,Pharmaceutical Healthcare,451000.0,
377.0,TU876,Pharmaceutical Science,445000.0,
378.0,TU877,Physics Technology,314000.0,314000.0
379.0,TU878,Physics with Energy and Environment,339000.0,
380.0,TU879,Physics with Medical Physics and Bioengineering,346000.0,
381.0,TU880,Physics with Data Science,412000.0,
382.0,TU881,Food Innovation,309000.0,
383.0,TU882,Nutraceuticals in Health and Nutrition,380000.0,
384.0,TU902,Business (options),270000.0,
385.0,TU903,Business and Management,477000.0,
386.0,TU904,Business and Law,462000.0,
387.0,TU905,Economics and Finance,460000.0,
388.0,TU906,Human Resource Management,386000.0,377000.0
389.0,TU907,Logistics and Supply Chain Management,300000.0,
390.0,TU910,Accounting,420000.0,
391.0,TU912,Business Analytics,331000.0,311000.0
392.0,TU914,Business Computing,322000.0,
393.0,TU917,Law (LLB ) with a Language,356000.0,
394.0,TU918,Law (LLB),463000.0,
395.0,TU919,Advertising and Marketing Communications,219000.0,
396.0,TU920,Digital Marketing,270000.0,
397.0,TU921,Digital Marketing Technologies,230000.0,
398.0,TU922,Marketing,412000.0,
399.0,TU924,E-Commerce in Retailing,307000.0,
400.0,TU925,Retail and Services Management,307000.0,
401.0,TU932,Business (options),211000.0,
402.0,TU933,Accounting and Finance (campus options),251000.0,
403.0,TU935,Sports Management and Coaching,300000.0,
404.0,TU936,Sports Science and Health,484000.0,
405.0,TU941,Botanical Cuisine,311000.0,
406.0,TU942,Culinary Arts,252000.0,
407.0,TU943,Culinary Entrepreneurship,261000.0,
408.0,TU944,Culinary Science,336000.0,
409.0,TU951,International Hospitality and Tourism Management,244000.0,
410.0,TU952,International Hospitality Management,309000.0,
411.0,TU953,Tourism and Digital Marketing,308000.0,
412.0,TU954,Event Management,326000.0,
413.0,TU955,Sports and Leisure Management,275000.0,
414.0,TU961,Commercial Modern Music (BIMM - assessment/auditio,536000.0,536000.0
415.0,TU962,Drama (Performance  audition),448000.0,
416.0,TU963,Music (audition),364000.0,
417.0,TU965,International Business and Languages,357000.0,
418.0,TU967,Languages and International Tourism,298000.0,
419.0,TU973,Design - Visual Communication (portfolio),700000.0,
420.0,TU974,Fine Art (portfolio),549000.0,
421.0,TU975,Interior Design (portfolio),544000.0,
422.0,TU976,Photography (portfolio),700000.0,
423.0,TU978,Creative Industries and Visual Culture,299000.0,
424.0,TU981,Creative Digital Media,280000.0,
425.0,TU982,Media Production and Digital Arts,369000.0,
426.0,TU983,Film and Broadcasting,462000.0,453000.0
427.0,TU984,Game Design,414000.0,
428.0,TU985,Journalism,367000.0,
429.0,TU989,Early Childhood Care and Education (campus options,270000.0,
430.0,TU991,Applied Social Studies in Social Care,326000.0,
431.0,TU992,Community Development and Youth Work,251000.0,
432.0,TU995,Early Childhood Education,378000.0,
433.0,TU996,Social Care,407000.0,
434.0,TU997,Applied Social Care,320000.0,
435.0,TR002,Music,508000.0,477000.0
436.0,TR003,History,552000.0,543000.0
437.0,TR004,Law,590000.0,589000.0
438.0,TR005,Philosophy,510000.0,497000.0
439.0,TR006,Psychology,601000.0,590000.0
440.0,TR007,Clinical Speech and Language Studies,564000.0,
441.0,TR009,Music Education,496000.0,486000.0
442.0,TR015,Philosophy  Political Science  Economics and Socio,613000.0,613000.0
443.0,TR016,Deaf Studies,389000.0,
444.0,TR018,Law and French,602000.0,602000.0
445.0,TR019,Law and German,577000.0,567000.0
446.0,TR021,Classics  Ancient History and Archaeology,467000.0,462000.0
447.0,TR022,Early and Modern Irish,377000.0,
448.0,TR023,English Studies,546000.0,541000.0
449.0,TR024,European Studies,566000.0,
450.0,TR025,Drama and Theatre Studies,543000.0,519000.0
451.0,TR028,Ancient and Medieval History and Culture,498000.0,463000.0
452.0,TR031,Mathematics,579000.0,578000.0
453.0,TR032,Engineering,556000.0,555000.0
454.0,TR033,Computer Science,566000.0,549000.0
455.0,TR034,Management Science and Information Systems Studies,625000.0,625000.0
456.0,TR035,Theoretical Physics,590000.0,589000.0
457.0,TR038,Engineering with Management,589000.0,589000.0
458.0,TR039,Computer Science  Linguistics and a Language,443000.0,
459.0,TR040,Middle Eastern and European Languages and Cultures,520000.0,499000.0
460.0,TR041,Religion,417000.0,
461.0,TR042,Film,531000.0,522000.0
462.0,TR043,History of Art and Architecture,498000.0,486000.0
463.0,TR051,Medicine (HPAT required),743000.0,743000.0
464.0,TR052,Dental Science,625000.0,625000.0
465.0,TR053,Physiotherapy,590000.0,
466.0,TR054,Occupational Therapy,578000.0,577000.0
467.0,TR055,Radiation Therapy,577000.0,566000.0
468.0,TR056,Human Health and Disease,601000.0,
469.0,TR060,Biological and Biomedical Sciences,578000.0,577000.0
470.0,TR061,Chemical Sciences,558000.0,554000.0
471.0,TR062,Geography and Geoscience,495000.0,
472.0,TR063,Physical Sciences,554000.0,543000.0
473.0,TR064,Environmental Science and Engineering,555000.0,
474.0,TR072,Pharmacy,613000.0,613000.0
475.0,TR080,Global Business,613000.0,
476.0,TR081,Business  Economic and Social Studies (BESS),577000.0,567000.0
477.0,TR084,Social Studies (Social Work),497000.0,487000.0
478.0,TR085,Business Studies and French,564000.0,
479.0,TR086,Business Studies and German,530000.0,
480.0,TR087,Business Studies and Russian,487000.0,
481.0,TR089,Business Studies and Polish,391000.0,
482.0,TR090,Business Studies and Spanish,566000.0,
483.0,TR091,General Nursing (Meath and St James`s),462000.0,456000.0
484.0,TR093,General Nursing (Adelaide School of Nursing),473000.0,
485.0,TR095,Mental Health Nursing,442000.0,
486.0,TR097,Intellectual Disability Nursing,412000.0,410000.0
487.0,TR911,Children`s and General Nursing (Integrated),531000.0,
488.0,TR913,Midwifery,521000.0,
489.0,DN100,Architecture,555000.0,
490.0,DN120,Landscape Architecture,463000.0,435000.0
491.0,DN130,City Planning and Environmental Policy,445000.0,424000.0
492.0,DN150,Engineering (Common Entry),565000.0,
493.0,DN200,Science (options),577000.0,567000.0
494.0,DN201,Computer Science (Common Entry),554000.0,549000.0
495.0,DN230,Actuarial and Financial Studies,613000.0,613000.0
496.0,DN240,Sustainability,510000.0,
497.0,DN250,Agricultural Science (options),454000.0,444000.0
498.0,DN261,Food Science,531000.0,
499.0,DN262,Human Nutrition,566000.0,
500.0,DN300,Veterinary Medicine - Undergraduate Entry,601000.0,
501.0,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,
502.0,DN310,Veterinary Nursing,521000.0,509000.0
503.0,DN400,Medicine - Undergraduate Entry (HPAT required),743000.0,
504.0,DN401,Medicine - Graduate Entry (GAMSAT required),61000.0,
505.0,DN410,Radiography,566000.0,566000.0
506.0,DN411,Radiography - Graduate Entry,,
507.0,DN420,Physiotherapy,601000.0,601000.0
508.0,DN425,Health and Performance Science,544000.0,543000.0
509.0,DN430,Sport and Exercise Management,484000.0,476000.0
510.0,DN440,Biomedical  Health and Life Sciences,613000.0,613000.0
511.0,DN450,General Nursing,462000.0,
512.0,DN451,Children`s and General Nursing (Integrated),533000.0,
513.0,DN452,Midwifery,510000.0,509000.0
514.0,DN453,Mental Health Nursing,442000.0,
515.0,DN520,Joint Honours (options),381000.0,378000.0
516.0,DN530,Humanities (options),397000.0,388000.0
517.0,DN541,Modern Languages (options),320000.0,
518.0,DN600,Law (options),576000.0,567000.0
519.0,DN610,Business and Law,573000.0,567000.0
520.0,DN650,Commerce,555000.0,
521.0,DN660,Commerce International (options),555000.0,554000.0
522.0,DN670,Economics and Finance,625000.0,625000.0
523.0,DN700,Social Sciences (options),475000.0,474000.0
524.0,DN710,Economics,534000.0,532000.0
525.0,DN720,Psychology,566000.0,564000.0
